doc_id,date_str
fomc_statement_19940101,19940101
fomc_statement_19970325,19970325
fomc_statement_19980929,19980929
fomc_statement_19981015,19981015
fomc_statement_19981117,19981117
fomc_statement_19990518,19990518
fomc_statement_19990630,19990630
fomc_statement_19990824,19990824
fomc_statement_19991005,19991005
fomc_statement_19991116,19991116
fomc_statement_19991221,19991221
fomc_statement_20000202,20000202
fomc_statement_20000321,20000321
fomc_statement_20000516,20000516
fomc_statement_20000628,20000628
fomc_statement_20000822,20000822
fomc_statement_20001003,20001003
fomc_statement_20001115,20001115
fomc_statement_20001219,20001219
fomc_statement_20010103,20010103
fomc_statement_20010131,20010131
fomc_statement_20010320,20010320
fomc_statement_20010418,20010418
fomc_statement_20010515,20010515
fomc_statement_20010627,20010627
fomc_statement_20010821,20010821
fomc_statement_20010917,20010917
fomc_statement_20011002,20011002
fomc_statement_20011106,20011106
fomc_statement_20011211,20011211
fomc_statement_20020130,20020130
fomc_statement_20020319,20020319
fomc_statement_20020507,20020507
fomc_statement_20020626,20020626
fomc_statement_20020813,20020813
fomc_statement_20020924,20020924
fomc_statement_20021106,20021106
fomc_statement_20021210,20021210
fomc_statement_20030129,20030129
fomc_statement_20030318,20030318
fomc_statement_20030506,20030506
fomc_statement_20030625,20030625
fomc_statement_20030812,20030812
fomc_statement_20030916,20030916
fomc_statement_20031028,20031028
fomc_statement_20031209,20031209
fomc_statement_20040128,20040128
fomc_statement_20040316,20040316
fomc_statement_20040504,20040504
fomc_statement_20040630,20040630
fomc_statement_20040810,20040810
fomc_statement_20040921,20040921
fomc_statement_20041110,20041110
fomc_statement_20041214,20041214
fomc_statement_20050202,20050202
fomc_statement_20050322,20050322
fomc_statement_20050503,20050503
fomc_statement_20050630,20050630
fomc_statement_20050809,20050809
fomc_statement_20050920,20050920
fomc_statement_20051101,20051101
fomc_statement_20051213,20051213
fomc_statement_20060131,20060131
fomc_statement_20060328,20060328
fomc_statement_20060510,20060510
fomc_statement_20060629,20060629
fomc_statement_20060808,20060808
fomc_statement_20060920,20060920
fomc_statement_20061025,20061025
fomc_statement_20061212,20061212
fomc_statement_20070131,20070131
fomc_statement_20070321,20070321
fomc_statement_20070509,20070509
fomc_statement_20070618,20070618
fomc_statement_20070807,20070807
fomc_statement_20070810,20070810
fomc_statement_20070817,20070817
fomc_statement_20070918,20070918
fomc_statement_20071031,20071031
fomc_statement_20071211,20071211
fomc_statement_20080122,20080122
fomc_statement_20080130,20080130
fomc_statement_20080311,20080311
fomc_statement_20080318,20080318
fomc_statement_20080430,20080430
fomc_statement_20080625,20080625
fomc_statement_20080805,20080805
fomc_statement_20080916,20080916
fomc_statement_20081008,20081008
fomc_statement_20081029,20081029
fomc_statement_20081216,20081216
fomc_statement_20090128,20090128
fomc_statement_20090318,20090318
fomc_statement_20090429,20090429
fomc_statement_20090624,20090624
fomc_statement_20090812,20090812
fomc_statement_20090923,20090923
fomc_statement_20091104,20091104
