sbert_pca_0,sbert_pca_1,sbert_pca_2,sbert_pca_3,sbert_pca_4,sbert_pca_5,sbert_pca_6,sbert_pca_7,sbert_pca_8,sbert_pca_9
-0.13896258,-0.48207146,0.13026404,0.05412954,0.10857271,-0.4655882,-0.088196635,-0.26414406,-0.016365893,0.14347851
-0.19852726,0.00069367886,-0.11553967,0.13299234,0.2992777,-0.05940441,-0.040306844,0.10917315,-0.1230083,0.13740931
-0.38294774,0.0175094,0.0023834072,0.22305077,0.32713854,-0.06700808,-0.10525057,0.030283257,-0.095828585,0.17484352
-0.4825257,-0.018375814,-0.037128,0.3840425,0.255174,0.12391789,0.17433318,0.047744345,-0.0539951,0.03301202
-0.47221768,-0.043193728,-0.03649608,0.40013292,0.22535187,0.15023208,0.19749172,0.043893397,-0.08553195,-0.030908069
-0.11570164,0.040083528,0.05765588,0.17422289,0.16177838,-0.22960651,-0.06972049,-0.07515697,-0.04680835,0.1003281
-0.19152273,0.0666334,0.054581642,0.1653956,0.12899004,-0.1337333,-0.05580259,-0.04900938,0.0022790208,0.1005654
-0.3312157,0.042674243,-0.0127222575,0.30109003,0.15057537,0.05481565,0.0465336,-0.08789395,0.049987115,-0.010620534
-0.20300569,0.093490005,0.046482686,0.16325264,0.0129161,-0.16578832,-0.14263457,0.029598452,0.004688911,0.058886353
-0.20912737,0.06426692,-0.03745897,0.24766424,0.04930054,0.075697556,-0.03702019,-0.0101095885,0.09573322,0.024021048
-0.18951967,0.029936492,0.01629072,0.2165068,0.10410266,-0.23957086,-0.052149445,0.012495609,-0.021085799,0.12134297
-0.40139502,0.0506292,-0.050179794,0.28344443,0.031254683,0.17669383,0.14862752,0.05459957,0.1091821,0.0018010624
-0.40667233,0.05190444,-0.019051112,0.27714735,0.008134846,0.18490797,0.1820605,0.0131211,0.09474719,-0.011313705
-0.3839084,0.04446459,-0.046138644,0.26629993,0.00722822,0.16331163,0.1263998,0.100804366,0.102902226,0.009961046
-0.16445757,0.091196,-0.042963147,0.079810984,-0.009030251,-0.18337141,-0.15206577,0.1867734,0.0984141,0.15409373
-0.1745712,0.095065296,-0.03167793,0.08533928,-0.009157492,-0.15203983,-0.13232595,0.14357695,0.09802433,0.16778274
-0.1691136,0.07829273,-0.054596387,0.068544194,-0.016212305,-0.18168704,-0.13572101,0.24614537,0.14263418,0.14172989
-0.119901426,0.08185285,-0.031406786,0.091057345,0.01473047,-0.17326662,-0.10983229,0.20206873,0.11083118,0.18430376
-0.24648158,0.09586382,0.0006107781,0.0617733,0.007521175,-0.1816118,-0.05484861,0.049740598,0.08095089,0.2113293
-0.32513508,0.041656077,0.04751189,0.21422265,-0.18490048,0.16204295,0.036716443,0.06413474,0.123404406,-0.040378463
-0.22309549,0.025336027,0.08788532,0.13387124,-0.27673724,0.11186683,-0.13763796,0.1561141,0.041696765,-0.083872795
