date_str,hawkishness,uncertainty,concern
19940101,0.0,1.6393,0.0
19970325,3.9216,1.9608,0.6536
19980929,1.6949,1.6949,1.6949
19981015,0.5952,2.9762,0.0
19981117,0.6329,3.1646,0.6329
19990518,2.3669,4.7337,0.0
19990630,2.2857,1.7143,0.0
19990824,2.6201,0.8734,0.4367
19991005,1.6043,1.6043,0.0
19991116,2.3166,2.3166,0.7722
19991221,1.7964,3.5928,0.0
20000202,2.439,1.9512,0.4878
20000321,2.3697,1.8957,0.4739
20000516,2.439,3.4146,0.4878
20000628,0.5525,2.7624,0.5525
20000822,1.087,2.1739,1.087
20001003,2.0619,1.0309,1.0309
20001115,3.0151,2.0101,1.005
20001219,1.7647,1.7647,2.3529
20010103,0.4184,0.8368,1.2552
20010131,0.3731,1.1194,0.7463
20010320,0.0,2.439,1.626
20010418,0.339,2.0339,1.3559
20010515,0.7435,2.974,1.8587
20010627,0.4587,0.9174,1.8349
20010821,0.4651,0.9302,1.8605
20010917,0.0,2.5974,0.8658
20011002,0.0,2.139,1.6043
20011106,0.0,2.6882,2.6882
20011211,0.4854,2.9126,1.4563
20020130,0.6803,1.3605,2.0408
20020319,0.0,0.3704,0.3704
20020507,0.0,1.5789,0.5263
20020626,0.939,0.4695,0.4695
20020813,0.0,1.5957,2.1277
20020924,0.0,1.7699,1.7699
20021106,0.7519,0.7519,1.1278
20021210,0.0,0.0,0.5405
20030129,0.0,0.5435,1.6304
20030318,0.0,0.4149,0.4149
20030506,0.8696,2.6087,2.1739
20030625,1.2903,0.9677,0.9677
20030812,2.2026,0.8811,1.7621
20030916,2.2321,0.4464,2.2321
20031028,2.2222,0.4444,1.7778
20031209,1.8605,0.9302,0.9302
20040128,1.8433,1.3825,0.9217
20040316,1.8519,0.9259,0.9259
20040504,1.3953,1.8605,1.3953
20040630,2.0548,1.0274,0.6849
20040810,1.6129,1.2903,0.6452
20040921,1.7182,1.0309,0.6873
20041110,1.8315,1.0989,0.7326
20041214,1.5198,0.9119,0.6079
20050202,1.7921,1.0753,0.7168
20050322,1.634,1.3072,0.6536
20050503,2.0,2.3333,0.6667
20050630,2.518,1.4388,0.7194
20050809,2.4306,1.3889,0.6944
20050920,1.8919,2.1622,1.3514
20051101,2.3891,2.0478,0.6826
20051213,3.75,1.6667,0.4167
20060131,3.1621,1.9763,0.3953
20060328,2.5478,1.9108,0.3185
20060510,3.0387,2.2099,0.2762
20060629,3.4268,1.8692,0.6231
20060808,3.9683,2.381,0.7937
20060920,3.7344,2.4896,0.8299
20061025,3.6735,2.8571,0.8163
20061212,3.5294,2.7451,0.7843
20070131,2.8571,3.8095,0.9524
20070321,2.5,3.5,1.0
20070509,2.5126,4.5226,1.005
20070618,1.8779,2.3474,0.939
20070807,2.0661,2.4793,2.0661
20070810,0.0,2.3077,0.0
20070817,1.2422,2.4845,2.4845
20070918,1.7241,1.7241,1.0345
20071031,1.7804,1.7804,1.4837
20071211,2.5559,1.278,0.9585
20080122,1.3841,0.346,2.7682
20080130,1.049,0.6993,2.0979
20080311,0.6579,0.4386,0.0
20080318,2.4615,1.2308,1.8462
20080430,1.7595,1.173,1.173
20080625,3.5088,1.4035,2.1053
20080805,3.2143,1.4286,2.1429
20080916,2.3256,1.5504,1.938
20081008,1.0504,0.6303,1.4706
20081029,0.3096,0.9288,0.9288
20081216,0.4535,1.1338,0.0
20090128,0.3868,1.7408,0.7737
20090318,1.0965,1.3158,0.6579
20090429,0.6522,1.3043,0.4348
20090624,0.2427,1.4563,0.2427
20090812,0.2203,1.1013,0.0
20090923,0.655,1.31,0.0
20091104,1.004,1.4056,0.0
20091216,0.67,1.005,0.1675
20100127,0.6908,1.0363,0.1727
20100316,1.0417,1.25,0.4167
20100428,1.3483,1.3483,0.4494
20100509,0.0,1.1765,0.0
20100623,2.0253,1.519,0.2532
20100810,1.2024,1.002,0.0
20100921,1.5152,1.2987,0.0
20101103,2.277,0.9488,0.3795
20101214,2.2814,1.1407,0.1901
20110126,1.6985,0.6369,0.0
20110315,2.4096,0.6024,0.2008
20110427,2.8112,0.6024,0.2008
20110622,2.0284,1.0142,0.2028
20110809,1.7825,1.426,0.8913
20110921,1.5798,0.9479,0.6319
20111102,1.8868,0.7547,0.7547
20111213,1.9027,0.8457,0.6342
20120101,0.0,0.0104,0.0
20120125,1.2987,0.8658,0.6494
20120313,1.9108,0.8493,0.6369
20120425,1.6667,1.0417,0.625
20120620,1.105,0.9208,0.5525
20120801,1.2,0.8,0.6
20120913,1.3223,1.6529,0.3306
20121024,1.0152,1.692,0.3384
20121212,1.3643,1.2278,0.2729
20130101,0.0,0.0307,0.0
20130130,1.8813,1.1577,0.5789
20130320,2.029,1.0145,0.5797
20130501,2.095,1.257,0.5587
20130619,2.2849,1.2097,0.5376
20130731,2.1419,0.9371,0.6693
20130918,1.8824,1.1765,0.5882
20131030,1.8116,1.2077,0.6039
20131218,1.9355,1.7204,0.3226
20140101,0.0,0.0212,0.0
20140129,1.7917,1.3438,0.3359
20140319,1.9108,1.8047,0.4246
20140430,1.9429,1.8286,0.3429
20140618,1.9722,1.8561,0.232
20140730,1.6358,1.9629,0.2181
20140917,1.5609,1.873,0.1041
20141029,2.4328,3.073,0.128
20141217,2.4204,2.9299,0.5096
20150101,0.0,0.0258,0.0
20150128,2.2801,2.6059,0.3257
20150318,2.381,2.0635,0.1587
20150429,2.1417,1.8122,0.1647
20150617,2.1959,1.6892,0.1689
20150729,2.2184,1.7065,0.3413
20150917,2.5237,1.8927,0.3155
20151028,2.56,1.6,0.16
20151216,2.5039,1.8779,0.313
20160127,2.1452,1.9802,0.33
20160316,2.269,2.107,0.1621
20160427,2.09,2.09,0.0
20160615,2.0408,1.8707,0.0
20160727,2.2876,2.1242,0.1634
20160921,2.1538,2.0,0.1538
20161102,2.3292,2.0186,0.1553
20161214,2.5641,2.2222,0.1709
20170101,0.0,0.0191,0.0
20170201,2.5547,2.1898,0.1825
20170315,2.807,2.4561,0.1754
20170503,2.4735,3.1802,0.1767
20170614,2.3372,2.8381,0.1669
20170726,2.3551,2.5362,0.1812
20170920,2.418,2.5907,0.1727
20171101,2.8725,2.5135,0.1795
20171213,3.0132,2.8249,0.1883
20180131,3.2258,2.7957,0.2151
20180321,3.252,2.8455,0.2033
20180502,2.7957,3.4409,0.2151
20180613,3.0387,2.7624,0.2762
20180801,2.8571,2.2857,0.2857
20180926,3.003,2.4024,0.3003
20181108,2.6012,2.3121,0.289
20181219,2.681,2.1448,0.2681
20190130,2.4194,2.1505,0.0
20190320,2.3196,2.0619,0.0
20190501,2.4725,3.022,0.0
20190619,2.7569,2.005,0.0
20190731,2.2422,1.7937,0.0
20190918,2.331,2.0979,0.0
20191011,0.5249,1.0499,0.5249
20191030,2.2959,2.0408,0.0
20191211,2.5281,1.6854,0.0
20200129,2.5281,1.6854,0.0
20200303,0.0,1.1628,1.1628
20200315,1.3514,0.9459,0.2703
20200319,0.0,0.3597,0.0
20200323,0.1527,0.6107,0.0
20200331,0.0,1.278,0.0
20200429,1.2793,1.4925,0.2132
20200610,1.4831,1.4831,0.2119
20200729,1.4199,1.6227,0.2028
20200827,0.9419,1.2559,0.0
20200916,2.027,2.1959,0.3378
20201105,2.1569,1.9608,0.3922
20201216,2.1033,1.912,0.3824
20210127,2.0833,1.8939,0.7576
20210317,2.1073,1.9157,0.5747
20210428,1.9268,1.9268,0.578
